connection-pool,s,0,0
HUnit-approx,s,1,0
ansi-wl-pprint,s,0,0
safeio,s,1,0
unicode,s,1,0
test-framework,s,0,0
hostname,s,0,0
sysinfo,s,1,0
witherable,s,0,0
bound,s,5,0
stm-delay,s,2,0
scalpel-core,s,1,0
optparse-generic,s,0,0
persistent-refs,s,0,0
wai-middleware-caching,s,1,0
hxt-css,s,0,0
ObjectName,s,0,0
boolean-like,s,0,0
List,s,0,0
hsass,s,1,0
interpolation,s,1,0
logict,s,0,0
bytestring-conversion,s,1,0
transformers-bifunctors,s,0,0
IPv6Addr,s,1,0
qm-interpolated-string,s,1,0
HTF,s,3,0
wai-transformers,s,0,0
trifecta,s,2,0
indentation-parsec,s,1,0
machines-directory,s,0,0
data-fix,s,0,0
tasty-th,s,1,0
case-insensitive,s,0,0
hw-json,s,1,0
hspec-wai-json,s,1,0
dyre,s,0,0
aern2-mp,s,1,0
hs-GeoIP,s,0,0
HPDF,s,1,0
pipes-category,s,1,0
here,s,0,0
text-short,s,0,0
milena,s,1,0
monoidal-containers,s,0,0
codo-notation,s,0,0
extensible-exceptions,s,0,0
rdtsc,s,0,0
mercury-api,s,3,0
frontmatter,s,1,0
serversession-frontend-wai,s,0,0
users,s,0,0
giphy-api,s,1,0
wl-pprint-terminfo,s,0,0
cheapskate-highlight,s,0,0
thread-local-storage,s,1,0
unix-time,s,2,0
http2,s,4,0
pipes-fastx,s,0,0
fileplow,s,1,0
aeson-casing,s,1,0
haskell-gi-overloading,s,0,0
cipher-des,s,1,0
streamproc,s,0,0
swagger,s,1,0
mysql,s,1,0
almost-fix,s,0,0
data-lens-light,s,0,0
pkcs10,s,0,0
carray,s,1,0
x509-validation,s,1,0
apportionment,s,0,0
servant-websockets,s,0,0
unliftio,s,1,0
epub-metadata,s,1,0
SHA,s,1,0
o-clock,s,0,0
log-elasticsearch,s,0,0
hspec-expectations-pretty-diff,s,0,0
microstache,s,2,0
MonadRandom,s,0,0
GLUT,s,0,0
keycode,s,0,0
extra,s,1,0
hourglass,s,1,0
mersenne-random-pure64,s,0,0
sandman,s,0,0
generic-aeson,s,0,0
heredoc,s,0,0
checkers,s,0,0
gi-gio,s,0,0
setlocale,s,0,0
logging-facade,s,1,0
htoml,s,1,0
haskeline,s,0,0
edit-distance,s,0,0
openssl-streams,s,1,0
haskell-spacegoo,s,0,0
xml-conduit-parse,s,2,0
one-liner-instances,s,0,0
goggles,s,1,0
hunit-dejafu,s,0,0
declarative,s,1,0
hsdns,s,0,0
xml-to-json,s,0,0
unsafe,s,0,0
sundown,s,0,0
serf,s,0,0
polynomials-bernstein,s,0,0
cipher-camellia,s,1,0
read-env-var,s,1,0
hpqtypes,s,1,0
attoparsec-base64,s,0,0
io-storage,s,0,0
with-location,s,1,0
split,s,1,0
system-argv0,s,0,0
perfect-hash-generator,s,1,0
stm,s,0,0
tuples-homogenous-h98,s,0,0
attoparsec-binary,s,0,0
xml-conduit,s,1,0
dependent-sum-template,s,1,0
folds,s,1,0
appar,s,0,0
histogram-fill,s,0,0
skein,s,1,0
uniq-deep,s,0,0
fail,s,0,0
pcre-heavy,s,1,0
yesod-core,s,2,0
timerep,s,1,0
hledger,s,1,0
htaglib,s,1,0
path,s,0,0
hexml-lens,s,2,0
multiarg,s,1,0
filemanip,s,0,0
servius,s,0,0
disk-free-space,s,0,0
aeson-picker,s,1,0
data-default-class,s,0,0
mbox-utility,s,0,0
universe-instances-trans,s,0,0
discount,s,0,0
slug,s,1,0
bitcoin-tx,s,1,0
pipes-bytestring,s,0,0
alerts,s,0,0
imprint,s,1,0
tasty-golden,s,1,0
gi-atk,s,0,0
xml-hamlet,s,1,0
netwire-input,s,0,0
hsyslog,s,1,0
lame,s,1,0
blaze-markup,s,0,0
comonad,s,1,0
parser-combinators,s,0,0
dhall,s,1,0
strict-base-types,s,0,0
multimap,s,0,0
hex,s,0,0
HDBC,s,0,0
one-liner,s,1,0
clumpiness,s,0,0
deriving-compat,s,1,0
find-clumpiness,s,0,0
xhtml,s,0,0
monad-journal,s,0,0
wai-slack-middleware,s,1,0
sdl2-gfx,s,0,0
ses-html,s,0,0
universe-base,s,0,0
arrow-extras,s,0,0
ad,s,1,0
gi-cairo,s,0,0
web-routes-wai,s,0,0
storable-tuple,s,0,0
tagstream-conduit,s,1,0
throwable-exceptions,s,0,0
hapistrano,s,1,0
hw-mquery,s,1,0
open-browser,s,0,0
re2,s,1,0
base64-bytestring,s,1,0
pointed,s,0,0
hreader,s,1,0
every,s,0,0
amqp,s,1,0
monad-skeleton,s,0,0
Diff,s,1,0
aern2-real,s,1,0
aeson-pretty,s,0,0
persistent,s,1,0
xmlgen,s,1,0
